Acc,Culture,Flask,Date and time,actual CO2,CO2 (%),pH,OD
2,Dccm 1% CO2,10,8/16/2017 10:29:19 AM,0.011,1.1,7.17,0.00
2,Dccm 1% CO2,10,8/16/2017 3:25:19 PM,0.013,1.3,7.03,0.01
3,Dccm 1% CO2,19,8/18/2017 10:04:19 AM,0.01,1,7.35,0.03
2,Dccm 3% CO2,9,8/16/2017 10:25:19 AM,0.035,3.5,NA,0.02
2,Dccm 3% CO2,9,8/16/2017 2:38:19 PM,0.03,3,6.68,0.03
4,Dccm 3% CO2,27,8/18/2017 10:57:19 AM,0.033,3.3,6.73,0.00
4,Dccm 3% CO2,27,8/18/2017 3:33:19 PM,0.03,3,6.88,0.06
2,WT 1% CO2,7,8/16/2017 10:45:19 AM,0.015,1.5,7.34,0.06
2,WT 1% CO2,7,8/16/2017 2:40:19 PM,0.01,1,7.36,0.12
4,WT 1% CO2,23,8/18/2017 10:59:19 AM,0.012,1.2,7.35,0.03
4,WT 1% CO2,23,8/18/2017 3:35:19 PM,0.01,1,7.37,0.14
2,WT 3% CO2,6,8/16/2017 10:20:19 AM,0.032,3.2,6.72,0.06
2,WT 3% CO2,6,8/16/2017 3:23:19 PM,0.03,3,6.64,0.11
4,WT 3% CO2,21,8/18/2017 10:02:19 AM,0.03,3,6.8,0.00
2,WT Air,8,8/16/2017 2:42:19 PM,0.0004,0.04,7.84,0.00
2,WT Air,8,8/16/2017 10:49:19 AM,0.0004,0.04,7.92,0.00
3,WT Air,15,8/18/2017 10:06:19 AM,0.0004,0.04,8.23,0.06
3,WT Air,15,8/18/2017 3:37:19 PM,0.0004,0.04,8.26,0.10
2,WT Air,8,8/16/2017 2:42:19 PM,0.000,0.040,7.84,0.00
2,WT Air,8,8/16/2017 10:49:19 AM,0.000,0.040,7.92,0.00
3,WT Air,15,8/18/2017 10:06:19 AM,0.000,0.040,8.23,0.06
3,WT Air,15,8/18/2017 3:37:19 PM,0.000,0.040,8.26,0.10
3,Dccm 1% CO2,19,8/18/2017 10:04:19 AM,0.010,1.000,7.35,0.03
2,WT 1% CO2,7,8/16/2017 2:40:19 PM,0.010,1.000,7.36,0.12
4,WT 1% CO2,23,8/18/2017 3:35:19 PM,0.010,1.000,7.37,0.14
2,Dccm 1% CO2,10,8/16/2017 10:29:19 AM,0.011,1.100,7.17,0.00
4,WT 1% CO2,23,8/18/2017 10:59:19 AM,0.012,1.200,7.35,0.03
2,Dccm 1% CO2,10,8/16/2017 3:25:19 PM,0.013,1.300,7.03,0.01
2,WT 1% CO2,7,8/16/2017 10:45:19 AM,0.015,1.500,7.34,0.06
2,Dccm 3% CO2,9,8/16/2017 2:38:19 PM,0.030,3.000,6.68,0.03
4,Dccm 3% CO2,27,8/18/2017 3:33:19 PM,0.030,3.000,6.88,0.06
2,WT 3% CO2,6,8/16/2017 3:23:19 PM,0.030,3.000,6.64,0.11
4,WT 3% CO2,21,8/18/2017 10:02:19 AM,0.030,3.000,6.8,0.00
2,WT 3% CO2,6,8/16/2017 10:20:19 AM,0.032,3.200,6.72,0.06
4,Dccm 3% CO2,27,8/18/2017 10:57:19 AM,0.033,3.300,6.73,0.00
2,Dccm 3% CO2,9,8/16/2017 10:25:19 AM,0.035,3.500,NA,0.02
